,lat,lon,name,current_stock,max_stock
0,-4.125006781246816,140.47520778493848,Aceh storage #1,280,890
1,4.934031070061925,96.51540460873088,Aceh storage #2,680,750
2,-5.353340243509308,104.08353447767925,Aceh storage #3,340,640
3,0.6425753153932785,111.374000012338,Aceh storage #4,250,550
4,-0.8477361305621471,116.11541841427203,Aceh storage #5,400,530
5,-3.16063777536678,126.99914926221973,Bali storage #1,630,910
6,1.5643813875897656,117.4313333144201,Bali storage #2,40,560
7,-2.9498158436282065,104.6888849359639,Bali storage #3,810,1100
8,-2.835289436268292,103.83624089078397,Bali storage #4,340,370
9,-6.254348185988592,107.06400820718565,Bali storage #5,160,540
10,1.4265036851851853,116.22592146334695,BangkaBelitung storage #1,610,980
11,1.1175277635804175,121.23930069572222,BangkaBelitung storage #2,420,490
12,1.9885395310514973,101.51457091104444,BangkaBelitung storage #3,40,850
13,-3.685556692221409,104.82535805856587,BangkaBelitung storage #4,260,990
14,-2.4475486922454532,136.73354771773444,BangkaBelitung storage #5,120,420
15,-5.506920072005955,138.6862277632058,Banten storage #1,340,390
16,-2.29844604871921,116.16381429455376,Banten storage #2,440,1090
17,-4.359193545090259,140.6248362750721,Banten storage #3,150,390
18,-4.068979877940242,121.80939936360659,Banten storage #4,520,960
19,1.0465708336707351,99.02582266531664,Banten storage #5,470,660
20,-2.9318659957994715,121.10256158813372,Bengkulu storage #1,270,660
21,1.1996487555850734,128.5680750761887,Bengkulu storage #2,300,480
22,0.23108087082906792,102.69537222949978,Bengkulu storage #3,320,540
23,-2.288704020020873,104.43089814718488,Bengkulu storage #4,320,780
24,-1.9942165194066348,114.68484146418078,Bengkulu storage #5,0,680
25,-1.7091499192880821,115.74609394700039,Gorontalo storage #1,80,500
26,-4.0188062238607385,135.19930011905277,Gorontalo storage #2,490,630
27,-4.455268066805924,119.99551911523766,Gorontalo storage #3,680,930
28,-2.1742504300324725,111.25232010500982,Gorontalo storage #4,850,900
29,-1.9056353361267284,103.78406928198066,Gorontalo storage #5,160,780
30,1.4904841492946126,112.35569283648199,JakartaRaya storage #1,530,550
31,-8.73534887574547,122.0057627387438,JakartaRaya storage #2,280,930
32,0.5400615858110651,116.21531906937064,JakartaRaya storage #3,740,920
33,-1.7957256034136666,132.80119360320424,JakartaRaya storage #4,370,630
34,0.10548891258132898,102.46389155648464,JakartaRaya storage #5,280,840
35,1.2574480853120118,113.73661044905256,Jambi storage #1,210,390
36,-2.138820665445113,120.4730963491331,Jambi storage #2,90,920
37,-2.8433457402835227,121.19103363022265,Jambi storage #3,400,780
38,-8.139329084818556,138.7339061408377,Jambi storage #4,570,810
39,3.970997072319932,116.09489494665088,Jambi storage #5,720,780
40,3.653463384870271,98.58643064025115,JawaBarat storage #1,350,910
41,-2.108606974962992,113.65065164439997,JawaBarat storage #2,660,1020
42,-0.7105113400634,135.66191656620236,JawaBarat storage #3,110,840
43,4.042045566723221,108.20912323873965,JawaBarat storage #4,120,640
44,-1.3085109034091058,101.90298872722938,JawaBarat storage #5,260,610
45,1.0547679755797983,111.28045720021547,JawaTengah storage #1,10,1110
46,-4.656903297287497,105.23449653259223,JawaTengah storage #2,330,380
47,-1.9572407607194915,111.41674137605364,JawaTengah storage #3,800,1110
48,-1.019619246842547,102.03637273892262,JawaTengah storage #4,850,1040
49,1.137237593913234,101.49046825994262,JawaTengah storage #5,110,900
50,-1.8805998505256554,132.0531287553349,JawaTimur storage #1,260,390
51,-0.7453921600888407,111.25414967612971,JawaTimur storage #2,450,960
52,-3.6692267332568003,134.44647755896267,JawaTimur storage #3,160,1110
53,-5.377782170424357,105.62618812588606,JawaTimur storage #4,770,930
54,-5.41152177289912,139.7848507530812,JawaTimur storage #5,350,680
55,-7.091214458408617,107.8921450442967,KalimantanBarat storage #1,210,430
56,-3.5033553189978734,119.66343963870204,KalimantanBarat storage #2,300,860
57,-2.0562165379291635,110.82761265049206,KalimantanBarat storage #3,100,620
58,-0.7360343317479696,127.60613610429176,KalimantanBarat storage #4,70,810
59,-8.057412696241848,113.25807303273797,KalimantanBarat storage #5,30,530
60,-3.651122864616929,115.49574234658947,KalimantanSelatan storage #1,470,670
61,-3.0851139698933654,134.21012753955063,KalimantanSelatan storage #2,960,1060
62,-6.766477599302513,107.20787060417707,KalimantanSelatan storage #3,360,410
63,0.9293518509575982,113.59116777415008,KalimantanSelatan storage #4,130,450
64,3.3978425434782498,116.43518658459152,KalimantanSelatan storage #5,210,440
65,-3.9982560551571726,138.05797580778636,KalimantanTengah storage #1,110,810
66,-1.9436876118868636,121.40856501168864,KalimantanTengah storage #2,410,740
67,-2.289966244096787,115.99768650007402,KalimantanTengah storage #3,620,660
68,-7.729669806688941,138.95731818704218,KalimantanTengah storage #4,50,630
69,3.0560625446766263,97.44938933710722,KalimantanTengah storage #5,0,470
70,-6.194489362530123,139.76910167747184,KalimantanTimur storage #1,150,430
71,-4.726253461131131,104.05818513193726,KalimantanTimur storage #2,410,450
72,2.330794104005994,98.24345305490512,KalimantanTimur storage #3,0,900
73,1.785393277055281,116.9565153378957,KalimantanTimur storage #4,240,470
74,-7.822301985013396,139.47078760043195,KalimantanTimur storage #5,320,590
75,-7.53614510015895,110.5683459857754,KalimantanUtara storage #1,160,510
76,-8.037327464936538,114.06142779058936,KalimantanUtara storage #2,190,470
77,0.8645169164516506,124.42717662347145,KalimantanUtara storage #3,310,500
78,-5.218156867791779,122.05099090163246,KalimantanUtara storage #4,110,800
79,1.7169782447568345,117.11274751600527,KalimantanUtara storage #5,820,990
80,2.8158832514880014,115.14304196207709,KepulauanRiau storage #1,400,900
81,-7.913499736214106,110.31950974480371,KepulauanRiau storage #2,810,940
82,-8.42828153593545,116.65091159295916,KepulauanRiau storage #3,270,430
83,-3.228584466954678,140.29567420780126,KepulauanRiau storage #4,300,860
84,-2.7963317356720356,139.20413222230422,KepulauanRiau storage #5,350,520
85,-2.41071117222873,114.87888152319782,Lampung storage #1,260,530
